Sección,Pregunta,Respuesta,Fuente
Postres,"Refiere a una bebida color blanca que se sirve en un vaso transparente, tiene sabor a vainilla dulce y deliciosa con una base de leche cremosa y dulce:",Malteada sabor vainilla,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuáles son las características de calidad de los pays?,"Corteza dorada, crujiente y con burbujas",Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un cono sencillo?,3 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un cono doble?,4 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál debe ser la altura de un cono sencillo?,3 pulg,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuántas vueltas de mezcla de helado tiene un cono sencillo?,3 vueltas y 1 pico.,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de un McFlurry?,5 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de una malteada de 12 oz?,6 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el peso de la mezcla de helado de una malteada de 16 oz?,9 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la cantidad de topping que contiene un sundae?,1 oz,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la velocidad de salida de la mezcla de helado para calibración de la máquina de batidos?,5 a 7.5 oz por cada 10 seg,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el rendimiento de la mezcla de helados?,8 a 8.5 sundae por litro,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de salida de la mezcla de helados?,16?F a 18?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de la mezcla de helado en la tolva de la máquina?,34?F a 40?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura de extracción de los toppings para sundae?,115?F a 125?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es la temperatura del baño maría de los toppings para sundae?,135?F a 145?F,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el tiempo de recuperación de la máquina de helados?,15 min,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es rendimiento del topping para sundae?,117 a 122 sundaes,Gui?a de estudio para entrenador 2024.pdf
Postres,¿Cuál es el tiempo cocción de los pays?,6 min,Gui?a de estudio para entrenador 2024.pdf
